
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[2/4] ebrains__104638-OpenField__OpenField                 overlap  1/13  p=0.4867 no  | INDEP  0/5  p=1.0000 no  [34s]
[3/4] ebrains__102335-Wheel-HeadFixed__Wheel-HeadFixed     overlap  3/13  p=0.0245 SEQ | INDEP  1/5  p=0.2262 no  [13s]
[4/4] ebrains__102335-OpenField__OpenField                 overlap  1/13  p=0.4867 no  | INDEP  0/5  p=1.0000 no  [16s]

########################################################################################
# 000552: 6 jobs
########################################################################################
[1/6] 000552__sub-e15-13f1-sub-e15-13f1-ses-e15-13f1-22011 overlap  0/49  p=1.0000 no  | INDEP  0/17 p=1.0000 no  [31s]
[2/6] 000552__sub-e14-2m2-sub-e14-2m2-ses-e14-2m2-201013-b overlap  0/86  p=1.0000 no  | INDEP  0/29 p=1.0000 no  [26s]
[3/6] 000552__sub-e15-13f1-sub-e15-13f1-ses-e15-13f1-22011 overlap  1/21  p=0.6594 no  | INDEP  1/7  p=0.3017 no  [14s]
[4/6] 000552__sub-e15-13f1-sub-e15-13f1-ses-e15-13f1-22011 overlap  0/22  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [13s]
[5/6] 000552__sub-e16-3m1-sub-e16-3m1-ses-e16-3m1-210111-b overlap  0/32  p=1.0000 no  | INDEP  0/11 p=1.0000 no  [7s]
[6/6] 000552__sub-e16-3m1-sub-e16-3m1-ses-e16-3m1-210201-b overlap  0/37  p=1.0000 no  | INDEP  0/13 p=1.0000 no  [7s]

########################################################################################
# 000690: 33 jobs
########################################################################################
[1/33] 000690__sub-695762-sub-695762-ses-1317448357-nwb__ME overlap  1/72  p=0.9751 no  | INDEP  1/24 p=0.7080 no  [56s]
[2/33] 000690__sub-695762-sub-695762-ses-1317448357-nwb__V1 overlap  1/72  p=0.9751 no  | INDEP  1/24 p=0.7080 no  [52s]
[3/33] 000690__sub-695762-sub-695762-ses-1317448357-nwb__Pa overlap  3/72  p=0.7045 no  | INDEP  2/24 p=0.3392 no  [52s]
[4/33] 000690__sub-695763-sub-695763-ses-1317661297-nwb__ME overlap  5/70  p=0.2721 no  | INDEP  2/24 p=0.3392 no  [58s]
[5/33] 000690__sub-695763-sub-695763-ses-1317661297-nwb__V1 overlap  0/70  p=1.0000 no  | INDEP  0/24 p=1.0000 no  [54s]
[6/33] 000690__sub-695763-sub-695763-ses-1317661297-nwb__Pa skipped region absent [0s]
[7/33] 000690__sub-695764-sub-695764-ses-1311204385-nwb__ME overlap  9/70  p=0.0080 SEQ | INDEP  2/24 p=0.3392 no  [57s]
[8/33] 000690__sub-695764-sub-695764-ses-1311204385-nwb__V1 overlap  0/70  p=1.0000 no  | INDEP  0/24 p=1.0000 no  [54s]
[9/33] 000690__sub-695764-sub-695764-ses-1311204385-nwb__Pa skipped region absent [0s]
[10/33] 000690__sub-699321-sub-699321-ses-1312636156-nwb__ME overlap  0/70  p=1.0000 no  | INDEP  0/24 p=1.0000 no  [57s]
[11/33] 000690__sub-699321-sub-699321-ses-1312636156-nwb__V1 overlap  1/70  p=0.9724 no  | INDEP  0/24 p=1.0000 no  [54s]
[12/33] 000690__sub-699321-sub-699321-ses-1312636156-nwb__Pa skipped region absent [0s]
[13/33] 000690__sub-699322-sub-699322-ses-1317198704-nwb__ME overlap  0/70  p=1.0000 no  | INDEP  0/24 p=1.0000 no  [16s]
[14/33] 000690__sub-699322-sub-699322-ses-1317198704-nwb__V1 overlap  0/70  p=1.0000 no  | INDEP  0/24 p=1.0000 no  [13s]
[15/33] 000690__sub-699322-sub-699322-ses-1317198704-nwb__Pa skipped region absent [0s]
